KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
 5.8367486     0.36091706    
 3.6020744     0.32401183    
 2.3659978     0.25084031    
 2.8595071     0.15536383    
 8.7761784     0.11425970    
 15.951318     0.52691396E-01
 14.008441     0.84834620E-01
 6.7158356     0.13491639    
 3.5034535     0.16565505    
 3.9370546     0.23327543    
 4.5374680     0.27576691    
 4.5418825     0.24707831    
 3.8452737     0.13320461    
 3.2117987     0.53989533E-01
 3.9044321     0.21904199    
 4.4150510     0.39315942    
 6.1860766     0.55306017    
 7.2193179     0.68269384    
 7.8071275     0.76473355    
 7.1495161     0.80058539    
 6.0841274     0.78516746    
 4.6485429     0.72599107    
 3.5172451     0.64534038    
 2.5803676     0.55034906    
 2.0363936     0.45481136    
 2.0280504     0.37838414    
 2.5567586     0.34937513    
 3.6995041     0.37271261    
 5.1589746     0.41605830    
 6.5753417     0.45682681    
 7.7036438     0.48432869    
 8.3837872     0.49716917    
 8.5604639     0.50779545    
 8.4347162     0.53239107    
 7.8053331     0.57734168    
 7.1534290     0.63313484    
 6.2966948     0.68892461    
 5.2593608     0.73359156    
 4.9680638     0.76488227    
 6.6165061     0.18087645    
 5.3957829     0.18351948    
 3.8916242     0.23511660    
 2.4022038     0.19087088    
 2.7140093     0.56885567E-01
 15.264607     0.63810892E-01
 18.066544     0.20398441    
 15.709904     0.31734055    
 13.139708     0.37030527    
 11.706962     0.38098240    
 10.102525     0.37333363    
 8.1980877     0.36086243    
 6.1932006     0.33872184    
 3.5821722     0.29119202    
 1.6799316     0.18988286    
 2.3818557     0.62593415E-01
 11.240871     0.59013367E-01
 16.026747     0.78210011E-01
 11.671145     0.10497063    
 3.7437429     0.76099463E-01
 3.2387321     0.14569493    
 4.9831624     0.23999421    
 5.3371053     0.28413209    
 5.5407643     0.24778029    
 5.3926830     0.14940211    
 5.0920134     0.12783362    
 5.3813930     0.24643931    
 5.6991067     0.41317788    
 8.2669134     0.57155263    
 7.5811443     0.70554876    
 7.7537303     0.78511739    
 6.5803809     0.81384242    
 5.4064946     0.79232365    
 4.0867677     0.72966784    
 3.2057014     0.63778031    
 2.1671090     0.52397239    
 1.5481108     0.40196118    
 1.4331490     0.30268985    
 2.1346984     0.28267637    
 3.5742264     0.32977214    
 5.2116308     0.38406712    
 6.6678753     0.43071127    
 7.7102923     0.45871398    
 8.1893053     0.46619916    
 8.3603277     0.47215503    
 7.8853011     0.49882916    
 7.1013470     0.54708123    
 6.2024221     0.60281181    
 5.0179024     0.65264153    
 4.3618608     0.68815517    
 4.1746178     0.71095544    
 6.8117118     0.26671106    
 5.8339753     0.25848985    
 4.8459382     0.24873020    
 3.9685161     0.15937115    
 7.9733667     0.34424640E-01
 20.826990     0.58509544E-01
 19.796223     0.22212906    
 16.052462     0.31646413    
 13.820961     0.34611449    
 12.534520     0.34019536    
 10.900471     0.33015555    
 8.8160410     0.32067844    
 6.3022342     0.29900241    
 3.6157839     0.25056675    
 1.3209107     0.13610612    
 3.5023954     0.26829880E-01
 13.670260     0.23674952E-01
 15.683688     0.86218998E-01
 9.9825716     0.77712782E-01
 2.6669273     0.22149866E-01
 5.2952852     0.13427953    
 6.6340671     0.24769615    
 6.7634058     0.29194084    
 7.0653324     0.25012207    
 7.1115618     0.16214766    
 6.9638109     0.13781442    
 6.7342548     0.25707015    
 7.5951295     0.43492374    
 9.0468426     0.59934646    
 8.8095007     0.72756577    
 6.4404621     0.81045669    
 6.1792779     0.82714605    
 4.9525852     0.79823017    
 3.9759088     0.72620654    
 2.7122984     0.61891055    
 1.7393687     0.48201776    
 1.0557979     0.32595050    
0.92058432     0.19724457    
 1.9200933     0.20832522    
 3.6931193     0.27968529    
 5.4604111     0.34044924    
 6.8921404     0.39459157    
 7.7738824     0.41935214    
 8.1858778     0.41452646    
 7.8883915     0.41492701    
 7.1291366     0.44887382    
 6.1500630     0.50394732    
 4.9260163     0.55948663    
 4.0351233     0.60325825    
 3.4879220     0.62883198    
 3.4287505     0.64383167    
 7.2078829     0.33710974    
 6.7718720     0.30225030    
 6.6985607     0.25059438    
 8.1135340     0.15805835    
 15.340364     0.90842292E-01
 21.547718     0.13274685    
 19.627872     0.24408112    
 16.205790     0.30311829    
 14.333682     0.29983172    
 13.226709     0.27570459    
 11.694106     0.26855138    
 9.4145203     0.26348165    
 6.3848352     0.24897967    
 3.2941997     0.21647815    
 2.0344889     0.13839473    
 6.7327309     0.93001164E-01
 14.118992     0.84572442E-01
 16.098339     0.43329854E-01
 10.387753     0.48611302E-01
 7.2804456     0.29985923E-01
 8.0606041     0.13607858    
 8.4599619     0.26502803    
 8.8807278     0.29949105    
 8.6219969     0.24575123    
 8.9541674     0.13036853    
 8.5956459     0.94758935E-01
 7.8234944     0.27380282    
 8.5258989     0.46921065    
 9.6055384     0.63345248    
 8.7625113     0.75583678    
 6.1155348     0.83064783    
 5.4456992     0.84531999    
 3.8964913     0.80587542    
 3.6191952     0.71705163    
 2.4520972     0.59316701    
 1.4778229     0.43250954    
0.95515573     0.23721226    
0.54653472     0.73613837E-01
 2.0912254     0.15317680    
 4.1176457     0.22215492    
 5.9443083     0.29028213    
 7.3223114     0.35449591    
 7.9964371     0.36724043    
 7.9878459     0.34062636    
 7.3340402     0.33871195    
 6.2628140     0.38860375    
 4.9159279     0.45097360    
 3.8614120     0.50592166    
 3.0415127     0.54267120    
 2.6513157     0.55678314    
 2.7525709     0.56402785    
 7.9908199     0.38121551    
 8.2036123     0.31694573    
 9.3701839     0.23873593    
 13.035305     0.15547766    
 19.721676     0.10499641    
 21.979441     0.16285652    
 19.669563     0.25055563    
 16.766993     0.27175573    
 14.272694     0.22684862    
 13.952344     0.18970373    
 12.544540     0.19559777    
 9.9622803     0.19191426    
 6.6079254     0.19350174    
 3.7880535     0.19599025    
 3.5335448     0.16598703    
 8.7673512     0.14775974    
 14.319017     0.11612811    
 15.975611     0.26718106E-01
 12.014635     0.48757285E-01
 10.953561     0.45098700E-01
 10.227988     0.18330431    
 10.006681     0.29094326    
 10.239473     0.30630994    
 9.9651413     0.23313461    
 10.461451     0.74362069E-01
 9.4466600     0.93807712E-01
 8.5236330     0.32209972    
 9.2198019     0.51488030    
 9.7181168     0.67182416    
 9.0157766     0.78540385    
 6.2396030     0.85121483    
 5.0641308     0.85574192    
 3.5968170     0.80625451    
 2.9450581     0.70988548    
 2.6757338     0.56769401    
 1.8586130     0.38989508    
 1.0772352     0.17228833    
0.92445737     0.36664840E-01
 2.8955152     0.12620786    
 4.8626380     0.14936607    
 6.6902037     0.24655417    
 7.8368115     0.31605184    
 8.1676598     0.30231524    
 7.7559114     0.24264726    
 6.7006574     0.25278068    
 5.1749635     0.32587844    
 3.8352077     0.39069915    
 2.7970860     0.44474015    
 2.0940347     0.47374421    
 1.8744394     0.47262961    
 2.0717289     0.47212115    
 9.3238020     0.39813277    
 9.9899092     0.30317089    
 12.304103     0.20295291    
 17.173424     0.11856163    
 22.489315     0.59688836E-01
 21.647415     0.17223623    
 19.016359     0.24386726    
 16.355440     0.22068797    
 15.147814     0.12740219    
 15.332043     0.94973601E-01
 13.800282     0.13012348    
 10.489058     0.10539151    
 6.7395248     0.14858696    
 3.7859020     0.17933771    
 4.4384837     0.17767139    
 9.6216793     0.17475085    
 14.196130     0.13107812    
 15.186912     0.78503303E-01
 13.414543     0.10615474    
 12.442010     0.14385466    
 11.661190     0.24668843    
 11.431359     0.31647107    
 11.516479     0.31183863    
 11.521227     0.22983408    
 10.824359     0.11941200    
 9.2892084     0.19947553    
 8.9678354     0.39245588    
