KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
 2   51   59    1  5.5000000      5.5000000      .50000000      5.00000      5.00000      1.00000       1
Estimate
EstimationVariance
 9.0581420      1.0581360    
 4.1599990      .18717440    
 5.4197870      .81871030E-01
 5.4329250      .22786370    
 5.6350160      .25753960    
 6.1842050      .18625740    
 6.6589840      .14294040    
 5.6227290      .24854560    
 4.6355710      .28238750    
 6.5395920      .20684000    
 3.3512000      .87888350E-01
 4.4636330      .18810390    
 6.4924780      .28818250    
 8.6488320      .24869690    
 11.175990      .11580860    
 13.965050      .13729340    
 13.272730      .23349670    
 17.144610      .22588930    
 18.047560      .95811790E-01
 18.529140      .92536520E-01
 17.938920      .15552950    
 12.497020      .14288810    
 9.2064500      .11937650    
 10.543540      .30875280    
 11.105760      .46499030    
 11.437990      .56285520    
 9.6664880      .65351560    
 9.6494970      .60914420    
 9.5427250      .48674770    
 9.3403640      .29798100    
 9.3338560      .10893040    
 9.7245650      .26995540    
 10.416780      .50228030    
 11.199200      .70316030    
 12.079640      .85264750    
 13.001700      .94420310    
 13.930200      .97695410    
 14.836420      .95475240    
 15.687940      .88736180    
 16.439900      .90527910    
 17.090910      .69216480    
 20.515750      .63176490    
 19.810000      .57097780    
 18.525630      .55684480    
 15.111440      .49227580    
 12.813600      .47940980    
 9.5488720      .48703590    
 8.9231670      .51497920    
 8.2560910      .59116270    
 7.6551930      .70912050    
 8.7219840      .89187250    
 8.8005250      1.0610880    
 6.7564540      .16992070    
 6.8405880      .11890930    
 7.1645730      .23688100    
 7.2822470      .24448230    
 7.5360930      .12588480    
 8.2487750      .11940180    
 9.2358950      .25852520    
 9.8091880      .25586910    
 9.2681010      .16661440    
 4.7704690      .68552810E-01
 5.3996890      .22590320    
 6.6373310      .28803180    
 6.8976540      .19735890    
 7.6704910      .24634200E-01
 12.584840      .19280340    
 14.965600      .26611790    
 16.532310      .18635440    
 17.899620      .52436540E-01
 17.244850      .14481500    
 14.703460      .21017040    
 11.917620      .10866550    
 9.7402110      .14161620    
 9.3235880      .31300410    
 8.7504210      .45263230    
 8.3828550      .55205770    
 8.1737240      .58572330    
 8.7698140      .54451500    
 8.8281960      .41952540    
 8.8974130      .21967730    
 9.1266980      .68873060E-01
 9.7907760      .32090430    
 10.358970      .55432900    
 10.891730      .74481960    
 11.514990      .87999190    
 12.744090      .91068230    
 13.587840      .93112120    
 14.419410      .90657180    
 15.199770      .84635100    
 18.559710      .80038840    
 15.996710      .68328740    
 19.983840      .64679540    
 19.262070      .59251310    
 17.863570      .57141110    
 14.518740      .50637000    
 12.116060      .47727120    
 8.7762230      .45917810    
 8.2230140      .46972550    
 7.6596210      .55297930    
 7.1740400      .68922940    
 8.4150660      .89108130    
 8.5970340      1.0707980    
 7.7056610      .19182120    
 8.1177210      .18075040    
 8.9799870      .24482470    
 9.9545250      .23647060    
 11.693750      .11905720    
 16.760120      .88483070E-01
 16.182420      .20636350    
 14.428170      .18055670    
 11.090450      .10601930    
 8.3137210      .17684780    
 7.2153340      .28039070    
 5.0187770      .25806400    
 6.9350400      .17541090    
 9.3369860      .12575950    
 11.553250      .22226420    
 13.215250      .23430590    
 15.827980      .16698120    
 17.577160      .13834790    
 16.648690      .18280150    
 13.941180      .20884410    
 11.099250      .15137180    
 9.0544200      .18671660    
 8.6308730      .30191050    
 8.1717520      .44160460    
 7.8682840      .54051400    
 7.6942200      .56669070    
 8.6456560      .52496430    
 8.7534460      .40040330    
 8.8862820      .23850070    
 9.4492800      .22790490    
 9.9937040      .42309180    
 10.509240      .62865140    
 10.995060      .79642340    
 11.580180      .91078850    
 12.757930      .90257260    
 13.516270      .90803260    
 14.246630      .87442460    
 14.908260      .81155220    
 18.647970      .78148330    
 15.325980      .66227910    
 19.871740      .64249050    
 18.958800      .58747040    
 17.333340      .55767220    
 13.948620      .49280010    
 11.372270      .44275290    
 8.0380340      .39529740    
 7.5559570      .40109700    
 7.1097250      .51279830    
 6.7429290      .67725050    
 8.1810990      .90098280    
 8.4562050      1.0892230    
 8.9405160      .21074740    
 10.505850      .17529240    
 13.227290      .25279040    
 16.261860      .27119790    
 19.707950      .15489490    
 21.456700      .84768600E-01
 20.154860      .16295960    
 15.038800      .10862520    
 10.019610      .10385170    
 3.6374640      .14942490    
 4.6849720      .23966800    
 6.0562870      .25374240    
 8.6786240      .18789900    
 11.381620      .16103010    
 12.784230      .20871550    
 13.740330      .19207470    
 15.977280      .17333420    
 17.357900      .15480590    
 15.674500      .18437800    
 13.119500      .21990430    
 10.241780      .18830640    
 8.1765650      .16599300    
 7.8765290      .28500070    
 7.5475550      .44215500    
 7.2949910      .53903080    
 7.1399290      .55746000    
 8.5738060      .52991900    
